Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,Constituency number
ISRAR,Independent,272,0,272,0.11,Kairana,8
VIJAY KUMAR,Independent,186,0,186,0.08,Kairana,8
SETHPAL,Independent,409,0,409,0.17,Kairana,8
HARUN ALI,Independent,315,0,315,0.13,Kairana,8
NOTA,None of the Above,592,1,593,0.25,Kairana,8
ANAND KUMAR,Samajwadi Party,102759,376,103135,45.51,Kaiserganj,288
GEETA DEVI,Indian National Congress,1789,1,1790,0.79,Kaiserganj,288
GAURAV VERMA,Bharatiya Janata Party,95285,139,95424,42.11,Kaiserganj,288
BAQAULLAH,Bahujan Samaj Party,13817,33,13850,6.11,Kaiserganj,288
MOHMMAD ASLAM,SOCIAL DEMOCRATIC PARTY OF INDIA,988,0,988,0.44,Kaiserganj,288
MO BILAL ANSARI,All India Majlis-E-Ittehadul Muslimeen,4758,4,4762,2.1,Kaiserganj,288
SRIKANT GUPTA,Rashtriya Bhagidari Party,443,0,443,0.2,Kaiserganj,288
MOHD. SALMAN,Aam Aadmi Party,370,0,370,0.16,Kaiserganj,288
HAJRATDEEN ANSARI,Jansatta Dal Loktantrik,336,0,336,0.15,Kaiserganj,288
HARISHCHANDRA VISHWAKARMA,Moulik Adhikar Party,277,0,277,0.12,Kaiserganj,288
BABU LAL,Independent,482,0,482,0.21,Kaiserganj,288
MUNNI,Independent,532,0,532,0.23,Kaiserganj,288
LALLI RAM,Independent,968,0,968,0.43,Kaiserganj,288
VINOD KUMAR,Independent,795,0,795,0.35,Kaiserganj,288
NOTA,None of the Above,2464,1,2465,1.09,Kaiserganj,288
UMAKANTI,Indian National Congress,15135,60,15195,6.42,Kalpi,220
VINOD CHATURVEDI,Samajwadi Party,69060,722,69782,29.48,Kalpi,220
SHYAM PAL,Bahujan Samaj Party,64433,250,64683,27.32,Kalpi,220
ARUN KUMAR,Desh Shakti Party,1086,5,1091,0.46,Kalpi,220
CHHOTE SINGH,Nirbal Indian Shoshit Hamara Aam Dal,66739,227,66966,28.29,Kalpi,220
JISHAN,Jan Adhikar Party,2465,5,2470,1.04,Kalpi,220
RAIS AHMAD,RASHTRIYA VIKLANG PARTY,318,0,318,0.13,Kalpi,220
RAJIV KUMAR,Communist Party of India  (Marxist-Leninist)  (Liberation),570,0,570,0.24,Kalpi,220
ROHIT TRIPATHI,"Rashtrawadi Party of India,",495,4,499,0.21,Kalpi,220
Veerendra Singh Parihar,Rashtriya Jan Manch,1086,5,1091,0.46,Kalpi,220
AINUL HASAN MANSOORI,Independent,8144,2,8146,3.44,Kalpi,220
ANJANA DEVI,Independent,1106,8,1114,0.47,Kalpi,220
SHYAM KISHOR,Independent,1696,0,1696,0.72,Kalpi,220
SUNDAR,Jan Adhikar Party,1411,3,1414,0.6,Kalpi,220
NOTA,None of the Above,1697,9,1706,0.72,Kalpi,220
ARUN MISHRA,Bahujan Samaj Party,6482,133,6615,3.52,Kalyanpur,211
NEELIMA KATIYAR,Bharatiya Janata Party,98197,800,98997,52.71,Kalyanpur,211
NEHA TIWARI,Indian National Congress,2279,23,2302,1.23,Kalyanpur,211
SATISH KUMAR NIGAM,Samajwadi Party,76169,1293,77462,41.24,Kalyanpur,211
ANOOP KATIYAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),337,0,337,0.18,Kalyanpur,211
AROON KUMAR,Aam Aadmi Party,714,7,721,0.38,Kalyanpur,211
ASHOK KUMAR,RASHTRIYA VIKLANG PARTY,126,0,126,0.07,Kalyanpur,211
HEERA DEVI,Bhartiya Shakti Chetna Party,359,1,360,0.19,Kalyanpur,211
NOTA,None of the Above,883,11,894,0.48,Kalyanpur,211
ANIL KUMAR DOHAREY,Samajwadi Party,114193,593,114786,42.29,Kannauj,198
ASIM ARUN,Bharatiya Janata Party,120555,321,120876,44.53,Kannauj,198
VINEETA DEVI,Indian National Congress,1782,4,1786,0.66,Kannauj,198
SAMAR JEET DOHARE,Bahujan Samaj Party,26167,72,26239,9.67,Kannauj,198
SUNIL KUMAR,All India Majlis-E-Ittehadul Muslimeen,4476,6,4482,1.65,Kannauj,198
MANOJ,Independent,320,2,322,0.12,Kannauj,198
RAJ KATHERIA,Independent,361,0,361,0.13,Kannauj,198
SUNIL,Independent,909,0,909,0.33,Kannauj,198
NOTA,None of the Above,1674,0,1674,0.62,Kannauj,198
MOHAMMAD SHAFI,Bahujan Samaj Party,3331,58,3389,1.79,KanpurCantt.,216
MOHAMMAD HASAN,Samajwadi Party,94271,458,94729,49.99,KanpurCantt.,216
RAGHUNANDAN SINGH BHADAURIYA,Bharatiya Janata Party,74261,481,74742,39.44,KanpurCantt.,216
SOHIL AKHTAR ANSARI,Indian National Congress,13202,77,13279,7.01,KanpurCantt.,216
ASHISH SHUKLA,Bhartiya Samta Party,210,1,211,0.11,KanpurCantt.,216
JAMSED,Jan Abhiyan Party,79,0,79,0.04,KanpurCantt.,216
MUKESH PAL,Rashtriya Samaj Paksha,135,0,135,0.07,KanpurCantt.,216
MOHD MERAJ,Rashtriya Ulama Council,116,0,116,0.06,KanpurCantt.,216
MOINUDDIN,All India Majlis-E-Ittehadul Muslimeen,1109,3,1112,0.59,KanpurCantt.,216
RAMESH,Akhil Bharatiya Socialist Party,178,0,178,0.09,KanpurCantt.,216
RASHID JAMAL,Aam Aadmi Party,534,2,536,0.28,KanpurCantt.,216
DEVI PRASAD,Independent,246,0,246,0.13,KanpurCantt.,216
NOTA,None of the Above,731,9,740,0.39,KanpurCantt.,216
Afaq Ali Khan,Bahujan Samaj Party,36178,163,36341,13.27,Kanth,25
Mohd Israr,Indian National Congress,1466,4,1470,0.54,Kanth,25
Kamal Akhtar,Samajwadi Party,134181,511,134692,49.19,Kanth,25
Rajesh Kumar Singh,Bharatiya Janata Party,91053,461,91514,33.42,Kanth,25
Kailash Kumar Saini,Loktanter Suraksha Party,2205,3,2208,0.81,Kanth,25
Tirilok Chandra Diwaker,Aam Aadmi Party,279,6,285,0.1,Kanth,25
Nar Singh Saini,Jan Adhikar Party,202,2,204,0.07,Kanth,25
Nadir Ali Mansoori,Peace Party,156,0,156,0.06,Kanth,25
Rajesh Kumar,Rashtriya Samaj Paksha,437,1,438,0.16,Kanth,25
Raisuddin,All India Majlis-E-Ittehadul Muslimeen,2885,1,2886,1.05,Kanth,25
Mohd Aslam,Independent,276,1,277,0.1,Kanth,25
Omkar Singh,Independent,847,9,856,0.31,Kanth,25
Dushyant Singh,Independent,455,0,455,0.17,Kanth,25
Mujfafar Khan,Independent,743,0,743,0.27,Kanth,25
Humaira Akhtar,Independent,283,0,283,0.1,Kanth,25
NOTA,None of the Above,1031,0,1031,0.38,Kanth,25
KANHAIYA PRASAD,Bahujan Samaj Party,26416,246,26662,10.57,Kapilvastu,303
DEVENDRA KUMAR GUDDU,Indian National Congress,2469,15,2484,0.98,Kapilvastu,303
VIJAY KUMAR,Samajwadi Party,91160,841,92001,36.46,Kapilvastu,303
SHYAMDHANI RAHI,Bharatiya Janata Party,122466,474,122940,48.72,Kapilvastu,303
BHAGGAN,Sabka Dal United,2697,1,2698,1.07,Kapilvastu,303
BHALU ALIAS  SANJAY,Samajhdar Party,510,0,510,0.2,Kapilvastu,303
MAHESH KUMAR RAO,Aam Aadmi Party,527,2,529,0.21,Kapilvastu,303
SHAMBHOO PRASAD,Bahujan Mukti Party,614,3,617,0.24,Kapilvastu,303
SANJAY KUMAR,Bahujan Maha Party,766,0,766,0.3,Kapilvastu,303
PINGAL PRASAD,Independent,867,3,870,0.34,Kapilvastu,303
NOTA,None of the Above,2278,1,2279,0.9,Kapilvastu,303
AMBIKA SINGH,Indian National Congress,3513,14,3527,1.63,Kaptanganj,308
KAVINDRA CHAUDHARY,Samajwadi Party,93021,1252,94273,43.66,Kaptanganj,308
CHANDRA PRAKASH SHUKLA,Bharatiya Janata Party,69768,326,70094,32.46,Kaptanganj,308
ZAHEER AHMAD,Bahujan Samaj Party,40109,272,40381,18.7,Kaptanganj,308
OM PRAKASH,Atal Janshakti Party,882,1,883,0.41,Kaptanganj,308
LAXMAN,Log Party,444,0,444,0.21,Kaptanganj,308
SUNIL,Jan Adhikar Party,941,2,943,0.44,Kaptanganj,308
SANJAY KUMAR,Aam Aadmi Party,574,0,574,0.27,Kaptanganj,308
HRIDAYRAM,Bahujan Mukti Party,342,4,346,0.16,Kaptanganj,308
KAPIL DEV,Independent,477,1,478,0.22,Kaptanganj,308
DIGVIJAY SINGH,Independent,1710,4,1714,0.79,Kaptanganj,308
RAM JI,Independent,1045,2,1047,0.48,Kaptanganj,308
NOTA,None of the Above,1220,1,1221,0.57,Kaptanganj,308
ARVIND KUMAR SHUKLA,Bahujan Samaj Party,21878,72,21950,10.8,Karachhana,260
UJJWAL RAMAN SINGH,Samajwadi Party,79753,446,80199,39.47,Karachhana,260
PIYUSH RANJAN NISHAD,Bharatiya Janata Party,89337,190,89527,44.06,Karachhana,260
RINKI PATEL,Indian National Congress,4330,13,4343,2.14,Karachhana,260
AJEET KUMAR PATEL,Pragatisheel Samaj Party,768,1,769,0.38,Karachhana,260
ANIL KUMAR SINGH,Bahujan Mukti Party,754,4,758,0.37,Karachhana,260
OM GURU CHARAN DAS,Sanatan Sanskriti Raksha Dal,479,0,479,0.24,Karachhana,260
JAGANNATH PATEL,Aam Aadmi Party,541,2,543,0.27,Karachhana,260
DHANRAJ SINGH,Yuva Vikas Party,332,0,332,0.16,Karachhana,260
RAJUPAL,Rashtriya Shoshit Samaj Party,595,1,596,0.29,Karachhana,260
PRAMOD KUMAR,Independent,888,0,888,0.44,Karachhana,260
VINAY KUMAR,Independent,914,0,914,0.45,Karachhana,260
NOTA,None of the Above,1890,1,1891,0.93,Karachhana,260
Akhilesh Yadav,Samajwadi Party,147237,959,148196,60.12,Karhal,110
Kuladip Narayan,Bahujan Samaj Party,15643,58,15701,6.37,Karhal,110
Prof. S.P. Singh Baghel,Bharatiya Janata Party,80455,237,80692,32.74,Karhal,110
NOTA,None of the Above,1906,3,1909,0.77,Karhal,110
Mohd. Arif,Bahujan Samaj Party,22936,65,23001,9.82,Kasganj,100
Kuldeep Kumar,Indian National Congress,5945,6,5951,2.54,Kasganj,100
Devendra Singh,Bharatiya Janata Party,123099,311,123410,52.67,Kasganj,100
Man Pal Singh,Samajwadi Party,76485,660,77145,32.92,Kasganj,100
Avdhesh,India Janshakti Party,535,0,535,0.23,Kasganj,100
Indrapal,Rashtriya Surya Prakash Party,191,0,191,0.08,Kasganj,100
Prabhoo Dayal Rajpoot,Aazad Samaj Party (Kanshi Ram),276,0,276,0.12,Kasganj,100
Manpal,Aam Aadmi Party,533,0,533,0.23,Kasganj,100
Rubi,Bahujan Mukti Party,527,2,529,0.23,Kasganj,100
Narendra Kumar,Independent,786,1,787,0.34,Kasganj,100
Prem Singh,Independent,704,0,704,0.3,Kasganj,100
NOTA,None of the Above,1262,2,1264,0.54,Kasganj,100
RADHE SHYAM,Indian National Congress,1955,1,1956,0.91,Kasta,143
SUNEEL KUMAR LALA,Samajwadi Party,88929,569,89498,41.52,Kasta,143
SAURABH SINGH,Bharatiya Janata Party,103093,222,103315,47.93,Kasta,143
HEMVATI DEVI,Bahujan Samaj Party,16281,63,16344,7.58,Kasta,143
GAYADATT,Uttar Pradesh Republican Party,830,0,830,0.39,Kasta,143
JASKARAN RAJ,Janta Rakshak Party,492,0,492,0.23,Kasta,143
JAGDISH PRASAD,Independent,709,0,709,0.33,Kasta,143
LAVKUSH,Independent,1007,0,1007,0.47,Kasta,143
NOTA,None of the Above,1396,3,1399,0.65,Kasta,143
Nishat Fatima,Indian National Congress,2043,6,2049,0.83,Katehari,277
Prateek Pandey,Bahujan Samaj Party,58186,296,58482,23.62,Katehari,277
Lalji Verma,Samajwadi Party,92808,716,93524,37.78,Katehari,277
Avadhesh  Kumar,Nirbal Indian Shoshit Hamara Aam Dal,85548,280,85828,34.67,Katehari,277
Ashok Kumar Sen,Jan Adhikar Party,1309,3,1312,0.53,Katehari,277
Ekalakh,Peace Party,542,0,542,0.22,Katehari,277
Omaveer,Bahujan Mukti Party,1041,2,1043,0.42,Katehari,277
Raghupati,Moulik Adhikar Party,1385,4,1389,0.56,Katehari,277
Ram Baran Prajapati,Aam Aadmi Party,910,12,922,0.37,Katehari,277
Rinka Gautam,Aazad Samaj Party (Kanshi Ram),976,1,977,0.39,Katehari,277
NOTA,None of the Above,1486,6,1492,0.6,Katehari,277
Munna Singh,Indian National Congress,17495,9,17504,8.98,Katra,131
Rajesh Kashyap,Bahujan Samaj Party,15214,22,15236,7.81,Katra,131
Rajesh Yadav,Samajwadi Party,77211,232,77443,39.72,Katra,131
Veer Vikram Singh,Bharatiya Janata Party,77637,163,77800,39.9,Katra,131
Rajveer,Jan Adhikar Party,2843,0,2843,1.46,Katra,131
Vedram,Bharatiya Subhash Sena,460,0,460,0.24,Katra,131
Sukhvindar Singh,Aam Aadmi Party,287,1,288,0.15,Katra,131
Amit Kumar Mishra,Independent,477,0,477,0.24,Katra,131
Omdev,Independent,866,0,866,0.44,Katra,131
Mahipal,Independent,563,2,565,0.29,Katra,131
Vishwa Deepak,Independent,394,0,394,0.2,Katra,131
NOTA,None of the Above,1089,2,1091,0.56,Katra,131
Tahir Vano,Indian National Congress,2718,1,2719,1.16,KatraBazar,297
Bawan Singh,Bharatiya Janata Party,112080,211,112291,47.86,KatraBazar,297
Baijnath,Samajwadi Party,93465,369,93834,39.99,KatraBazar,297
Vinod Kumar,Bahujan Samaj Party,18182,36,18218,7.76,KatraBazar,297
Vijay Pra,Aam Aadmi Party,725,1,726,0.31,KatraBazar,297
Umakant,Independent,213,0,213,0.09,KatraBazar,297
Kapil Dev,Independent,309,0,309,0.13,KatraBazar,297
Pradeep Kumar,Independent,470,0,470,0.2,KatraBazar,297
Bhagauti,Independent,567,0,567,0.24,KatraBazar,297
Retindra Pal Singh,Independent,1098,0,1098,0.47,KatraBazar,297
Renu Devi,Independent,1151,0,1151,0.49,KatraBazar,297
Vivek,Independent,1041,1,1042,0.44,KatraBazar,297
NOTA,None of the Above,2001,3,2004,0.85,KatraBazar,297
Tufani Saroj,Samajwadi Party,93149,873,94022,39.13,Kerakat,372
Dinesh Chaudhary,Bharatiya Janata Party,83809,369,84178,35.04,Kerakat,372
Rajesh,Indian National Congress,2684,4,2688,1.12,Kerakat,372
Lalbahadur,Bahujan Samaj Party,51380,253,51633,21.49,Kerakat,372
Pappu,Vikassheel Insaan Party,2588,2,2590,1.08,Kerakat,372
Ravi Prakash,Bahujan Mukti Party,464,1,465,0.19,Kerakat,372
Ram Bachan,Bharat Swabhiman Party,426,0,426,0.18,Kerakat,372
Sushma Devi,Bharatrashtra Democratic Party,749,0,749,0.31,Kerakat,372
Sanjay Prasad,Bhartiya Shakti Chetna Party,572,3,575,0.24,Kerakat,372
Subas,Independent,784,1,785,0.33,Kerakat,372
NOTA,None of the Above,2146,1,2147,0.89,Kerakat,372
DHANANJAY,Indian National Congress,2258,14,2272,1.11,Khadda,329
DR. NISAR AHMAD SIDDIQUE,Bahujan Samaj Party,19926,71,19997,9.76,Khadda,329
MD AKHTAR WASEEM,All India Majlis-E-Ittehadul Muslimeen,16398,21,16419,8.01,Khadda,329
ASHOK CHAUHAN,Suheldev Bharatiya Samaj Party,20914,212,21126,10.31,Khadda,329
OM PRAKASH,Vikassheel Insaan Party,1614,2,1616,0.79,Khadda,329
NAVAL KISHOR,Aam Janta Party (India),940,0,940,0.46,Khadda,329
RAJKUMAR,Aam Aadmi Party,1443,3,1446,0.71,Khadda,329
VIVEKA NAND PANDEY,Nirbal Indian Shoshit Hamara Aam Dal,88099,192,88291,43.08,Khadda,329
KM POONAM RANI,Independent,1776,1,1777,0.87,Khadda,329
RAMCHANDRA SINGH,Independent,1262,0,1262,0.62,Khadda,329
VIJAY PRATAP KUSHWAHA,Independent,46652,188,46840,22.85,Khadda,329
NOTA,None of the Above,2967,6,2973,1.45,Khadda,329
OMPRAKASH GIHAR,Indian National Congress,3764,9,3773,1.89,Khaga,243
KRISHNA PASWAN,Bharatiya Janata Party,83556,179,83735,41.87,Khaga,243
DASHARATH LAL,Bahujan Samaj Party,22067,48,22115,11.06,Khaga,243
RAM KRISHNA HEGDE,Communist Party of India,2170,1,2171,1.09,Khaga,243
RAMTHIRTH PARAMHANS,Samajwadi Party,77617,609,78226,39.12,Khaga,243
AJAY KUMAR,Shiv Sena,827,1,828,0.41,Khaga,243
AJAY CHAODHARY,Bhartiya Shakti Chetna Party,461,0,461,0.23,Khaga,243
ARVIND KUMAR,Sabka Dal United,909,0,909,0.45,Khaga,243
NILAM SONI,Vikassheel Insaan Party,909,0,909,0.45,Khaga,243
RAM BARAN GAUTAM,Peoples Party of India (Democratic),996,0,996,0.5,Khaga,243
VIJAY KUMAR,Aam Aadmi Party,629,0,629,0.31,Khaga,243
KESHAN LAL,Independent,589,0,589,0.29,Khaga,243
MAIKOO LAL,Independent,1190,0,1190,0.6,Khaga,243
SURENDRA,Independent,1293,0,1293,0.65,Khaga,243
NOTA,None of the Above,2161,1,2162,1.08,Khaga,243
ANOOP SINGH URF ANOOP PRADHAN VALMEEKI,Bharatiya Janata Party,138517,1126,139643,55.55,Khair,71
CHARU KAIN KAIN,Bahujan Samaj Party,64996,306,65302,25.98,Khair,71
BHAGWATI PRASAD,Rashtriya Lok Dal,41154,490,41644,16.57,Khair,71
MONIKA,Indian National Congress,1494,20,1514,0.6,Khair,71
MOHNEESH PRATAP SINGH,Aam Aadmi Party,361,6,367,0.15,Khair,71
JAGDISH PRASAD,Independent,609,3,612,0.24,Khair,71
MULCHAND,Independent,841,3,844,0.34,Khair,71
NOTA,None of the Above,1449,5,1454,0.58,Khair,71
RAJANI,Indian National Congress,2180,17,2197,1.1,Khajani,325
RUPAWATI BELDAR,Samajwadi Party,52480,629,53109,26.71,Khajani,325
VIDYASAGAR,Bahujan Samaj Party,46197,230,46427,23.35,Khajani,325
SHRIRAM CHAUHAN,Bharatiya Janata Party,89751,459,90210,45.37,Khajani,325
AMITA BHARATI,Bahujan Mukti Party,1271,1,1272,0.64,Khajani,325
GAURI SHANKAR,Adim Bhartiya Dal,303,0,303,0.15,Khajani,325
DEENBANDHU,Aam Aadmi Party,675,2,677,0.34,Khajani,325
RAMESH CHANDRA,Jan Adhikar Party,1626,3,1629,0.82,Khajani,325
RAJKUMAR,Rashtriya Teesara Vikalp Party,866,0,866,0.44,Khajani,325
RISHIKAPOOR,Independent,685,0,685,0.34,Khajani,325
NOTA,None of the Above,1451,1,1452,0.73,Khajani,325
AMRENDRA BHUSHAN,Indian National Congress,1605,5,1610,0.64,Khalilabad,313
AFTAB ALAM,Bahujan Samaj Party,58036,332,58368,23.29,Khalilabad,313
ANKUR TIWARI,Bharatiya Janata Party,75833,253,76086,30.36,Khalilabad,313
DIGVIJAY NARAYAN,Samajwadi Party,62703,761,63464,25.32,Khalilabad,313
DR MOHAMMAD AYUB,Peace Party,19350,14,19364,7.73,Khalilabad,313
GIRIJA SHANKER,Rashtriya Bhagidari Party,1504,3,1507,0.6,Khalilabad,313
MOHAMMAD ALI,Indian National League,690,0,690,0.28,Khalilabad,313
SUBODH CHANDRA,Aam Aadmi Party,25123,124,25247,10.07,Khalilabad,313
AKHILESH,Independent,485,1,486,0.19,Khalilabad,313
IFTEKHAR AHMAD,Independent,340,0,340,0.14,Khalilabad,313
NIYAZ,Independent,486,3,489,0.2,Khalilabad,313
RAVINDRA KUMAR YADAV,Independent,922,0,922,0.37,Khalilabad,313
SHYAMLAL,Independent,795,0,795,0.32,Khalilabad,313
NOTA,None of the Above,1256,3,1259,0.5,Khalilabad,313
KARTAR SINGH BHADANA,Bahujan Samaj Party,31269,143,31412,14.15,Khatauli,15
GAURAV KUMAR URF GAURAV BHATI,Indian National Congress,1199,10,1209,0.54,Khatauli,15
RAJPAL SINGH SAINI,Rashtriya Lok Dal,83975,331,84306,37.98,Khatauli,15
VIKRAM SINGH,Bharatiya Janata Party,100144,507,100651,45.34,Khatauli,15
BABLU RAM,Bharatiya Sarvodaya Kranti Party,594,1,595,0.27,Khatauli,15
MANOJ PANWAR,Aazad Samaj Party (Kanshi Ram),842,1,843,0.38,Khatauli,15
RAJU BHATIA,Pichhra Samaj Party,235,0,235,0.11,Khatauli,15
SELU,Shiv Sena,537,0,537,0.24,Khatauli,15
PRAMOD ARYA,Independent,545,0,545,0.25,Khatauli,15
YAJPAL SINGH RATHI,Independent,601,0,601,0.27,Khatauli,15
SATYAVEER SINGH,Independent,211,0,211,0.1,Khatauli,15
NOTA,None of the Above,822,2,824,0.37,Khatauli,15
Gangadhar Kushwah,Bahujan Samaj Party,28915,73,28988,14.12,Kheragarh,92
Bhagwan Singh Kushwaha,Bharatiya Janata Party,96089,485,96574,47.05,Kheragarh,92
Ramnath Singh Sikarwar,Indian National Congress,59961,116,60077,29.27,Kheragarh,92
Rohtan,Rashtriya Lok Dal,13837,296,14133,6.89,Kheragarh,92
Ashok Kumar,Bharatiya Subhash Sena,308,0,308,0.15,Kheragarh,92
Banwarilal,Aam Aadmi Party,373,11,384,0.19,Kheragarh,92
Satish Chandra Bhardwaj,Saman Adhikar Party,205,0,205,0.1,Kheragarh,92
Ambedakari Hasanuram Ambedakari,Independent,447,0,447,0.22,Kheragarh,92
Uday Singh,Independent,184,0,184,0.09,Kheragarh,92
Neeraj Kumar Rawat,Independent,265,1,266,0.13,Kheragarh,92
Randhaur Singh,Independent,348,2,350,0.17,Kheragarh,92
Laxmi Narayan,Independent,924,1,925,0.45,Kheragarh,92
Shyam Sundar,Independent,1084,1,1085,0.53,Kheragarh,92
NOTA,None of the Above,1329,2,1331,0.65,Kheragarh,92
Tukki,Indian National Congress,2633,10,2643,1.02,Khurja,70
Banshi Singh,Samajwadi Party,70119,258,70377,27.13,Khurja,70
Minakshi Singh,Bharatiya Janata Party,136655,806,137461,52.99,Khurja,70
Vinod,Bahujan Samaj Party,45173,152,45325,17.47,Khurja,70
JaiDev,Aam Aadmi Party,887,3,890,0.34,Khurja,70
Anmol,Independent,428,1,429,0.17,Khurja,70
Anil Kumar,Independent,628,2,630,0.24,Khurja,70
Ankit Gautam,Independent,599,2,601,0.23,Khurja,70
NOTA,None of the Above,1030,1,1031,0.4,Khurja,70
AJAY KAPOOR,Indian National Congress,75778,573,76351,37.06,KidwaiNagar,215
ABHIMANYU,Samajwadi Party,8150,247,8397,4.08,KidwaiNagar,215
MAHESH KUMAR TRIVEDI,Bharatiya Janata Party,113271,840,114111,55.39,KidwaiNagar,215
MOHAN MISHRA,Bahujan Samaj Party,3784,62,3846,1.87,KidwaiNagar,215
ALOK KUMAR,Sabhi Jan Party,150,1,151,0.07,KidwaiNagar,215
PAWAN KUMAR TIWARI,Shiv Sena,114,0,114,0.06,KidwaiNagar,215
RAKESH KUMAR DIXIT,Jan Sangh Party,176,2,178,0.09,KidwaiNagar,215
VIVEK DWIVEDI,Aam Aadmi Party,1114,15,1129,0.55,KidwaiNagar,215
SEEMA UTTAM,Bhartiya Shakti Chetna Party,508,6,514,0.25,KidwaiNagar,215
SITARAM  SHUKLA,Independent,159,1,160,0.08,KidwaiNagar,215
NOTA,None of the Above,1056,11,1067,0.52,KidwaiNagar,215
PRABHU DAYAL,Bahujan Samaj Party,16674,81,16755,8.56,Kishni,109
DR. PRIYA RANJAN ASHU DIWAKAR,Bharatiya Janata Party,77720,199,77919,39.8,Kishni,109
ENG. BRAJESH KATHERIYA,Samajwadi Party,96491,579,97070,49.58,Kishni,109
DR. VIJAY NARAIN SINGH ASST. PROFESSOR,Indian National Congress,1563,7,1570,0.8,Kishni,109
PAPPU,Aam Aadmi Party,795,4,799,0.41,Kishni,109
RAMANAND,Independent,497,0,497,0.25,Kishni,109
NOTA,None of the Above,1185,0,1185,0.61,Kishni,109
KUSHAL PAL MAVI,Bahujan Samaj Party,31089,124,31213,12.29,Kithore,46
BABITA GURJAR,Indian National Congress,1580,9,1589,0.63,Kithore,46
SHAHID MANZOOR,Samajwadi Party,106791,313,107104,42.19,Kithore,46
SATYAVIR TYAGI,Bharatiya Janata Party,104403,521,104924,41.33,Kithore,46
MOHD. ANAS,Aazad Samaj Party (Kanshi Ram),868,2,870,0.34,Kithore,46
ZAID,Naki Bharatiya Ekta Party,500,0,500,0.2,Kithore,46
TASLEEM AHMAD,All India Majlis-E-Ittehadul Muslimeen,4831,2,4833,1.9,Kithore,46
RAJESH GIRI,Bhartiya Janta Dal,154,1,155,0.06,Kithore,46
RAHUL KUMAR,Aam Aadmi Party,287,5,292,0.12,Kithore,46
SANJEEV KUMAR,Lok Jan Shakti Party,187,0,187,0.07,Kithore,46
CHANDRA VISHAL TYAGI,Independent,397,0,397,0.16,Kithore,46
DAUD,Bharatiya Jan Jagriti Party,601,0,601,0.24,Kithore,46
PAWAN SHARMA,Independent,291,1,292,0.12,Kithore,46
NOTA,None of the Above,912,0,912,0.36,Kithore,46
ANIL PARASHAR,Bharatiya Janata Party,107495,572,108067,42.81,Koil,75
MOHD BILAL,Bahujan Samaj Party,22880,136,23016,9.12,Koil,75
VIVEK BANSAL,Indian National Congress,15452,98,15550,6.16,Koil,75
SHAZ ISHAQ,Samajwadi Party,101968,1071,103039,40.82,Koil,75
MANOJ SHARMA,Aam Aadmi Party,675,8,683,0.27,Koil,75
SAHAB SINGH,Bharatiya Subhash Sena,164,0,164,0.06,Koil,75
NAIM KHAN,Independent,242,1,243,0.1,Koil,75
M L PAPA,Independent,199,1,200,0.08,Koil,75
SHAMS TABREZ KHAN,Independent,300,0,300,0.12,Koil,75
NOTA,None of the Above,1141,3,1144,0.45,Koil,75
Chiraunji Lal,Communist Party of India  (Marxist),1654,0,1654,0.8,Koraon,265
Rajbali Jaisal,Bahujan Samaj Party,26307,76,26383,12.71,Koraon,265
Raj Mani,Bharatiya Janata Party,84418,169,84587,40.74,Koraon,265
Ramkripal,Indian National Congress,21450,12,21462,10.34,Koraon,265
Ram Deo,Samajwadi Party,59697,403,60100,28.95,Koraon,265
Akabal Bahadur,Rashtriya Samaj Dal (R),873,0,873,0.42,Koraon,265
Ashok Dhuriya,Jan Adhikar Party,1592,1,1593,0.77,Koraon,265
Arati Devi,Shiv Sena,3089,1,3090,1.49,Koraon,265
Dharmadas,Vikassheel Insaan Party,1103,1,1104,0.53,Koraon,265
Santosh Kumar,Sanatan Sanskriti Raksha Dal,1244,0,1244,0.6,Koraon,265
Siya Ram,Samyak Party,1127,0,1127,0.54,Koraon,265
Harish Chandra,Aam Aadmi Party,1764,2,1766,0.85,Koraon,265
NOTA,None of the Above,2627,1,2628,1.27,Koraon,265
GULSHAN YADAV,Samajwadi Party,68843,454,69297,35.19,Kunda,246
MU PHAHEEM,Bahujan Samaj Party,3321,24,3345,1.7,Kunda,246
YOGESH KUMAR,Indian National Congress,542,7,549,0.28,Kunda,246
SINDHUJA MISHRA SENANI,Bharatiya Janata Party,16347,108,16455,8.36,Kunda,246
DHARMARAJ,Bahujan Mukti Party,1984,1,1985,1.01,Kunda,246
RAGHURAJ PRATAP SINGH,Jansatta Dal Loktantrik,99261,351,99612,50.58,Kunda,246
JAYESH SINGH,Independent,1368,0,1368,0.69,Kunda,246
TANVEER,Independent,493,0,493,0.25,Kunda,246
DHIRENDRA KUMAR,Independent,400,0,400,0.2,Kunda,246
SEEMA,Independent,380,0,380,0.19,Kunda,246
HARIVANSH KUMAR,Independent,895,0,895,0.45,Kunda,246
NOTA,None of the Above,2158,3,2161,1.1,Kunda,246
KAMAL KUMAR,Bharatiya Janata Party,82467,163,82630,30.4,Kundarki,29
ZIA UR REHMAN,Samajwadi Party,125465,327,125792,46.28,Kundarki,29
DARAKSHA BEGUM,Indian National Congress,1715,1,1716,0.63,Kundarki,29
